iter	Passed	Remaining
398	246835	371799
399	247507	371261
400	248070	370558
401	248682	369931
402	249332	369358
403	249938	368720
404	250597	368162
405	251202	367523
406	251855	366954
407	252477	366340
408	253138	365781
409	253797	365221
410	254386	364558
411	255021	363962
412	255707	363438
413	256305	362789
414	257011	362293
415	257591	361618
416	258253	361059
417	258825	360374
418	259436	359744
419	260103	359190
420	260790	358664
421	261450	358100
422	262062	357471
423	262681	356850
424	263420	356392
425	264041	355774
426	264619	355097
427	265286	354541
428	265942	353970
429	266554	353339
430	267284	352865
431	267877	352209
432	268495	351586
433	269140	350998
434	269742	350355
435	270412	349799
436	271008	349148
437	271564	348446
438	272122	347746
439	272805	347207
440	273446	346613
441	274036	345956
442	274703	345395
443	275281	344721
444	275945	344156
445	276458	343403
446	277065	342767
447	277773	342256
448	278376	341615
449	279086	341105
450	279824	340629
451	280425	339984
452	281004	339313
453	281686	338768
454	282250	338080
455	282888	337480
456	283512	336864
457	284163	336280
458	284784	335661
459	285429	335069
460	286085	334490
461	286593	333738
462	287311	333232
463	287895	332569
464	288564	332004
465	289238	331445
466	289809	330767
467	290487	330212
468	291117	329601
469	291745	328989
470	292384	328388
471	292932	327687
472	293564	327078
473	294165	326436
474	294860	325898
475	295451	325245
476	295960	324502
477	296613	323917
478	297252	323316
479	298013	322847
480	298700	322298
481	299392	321753
482	300059	321181
483	300682	320562
484	301425	320070
485	302297	319713
486	303079	319259
487	303822	318764
488	304662	318369
489	305356	317820
490	305997	317214
491	306690	316663
492	307282	316008
493	307998	315479
494	308599	314833
495	309224	314212
496	309817	313557
497	310431	312924
498	311064	312311
499	311661	311661
500	312250	311003
501	312910	310417
502	313504	309764
503	314074	309089
504	314706	308474
505	315350	307872
506	315968	307243
507	316600	306628
508	317139	305924
509	317704	305245
510	318326	304621
511	318969	304018
512	319537	303342
513	320158	302717
514	320764	302079
515	321605	301660
516	322183	300995
517	322805	300371
518	323438	299757
519	324071	299142
520	324630	298460
521	325227	297813
522	325842	297183
523	326431	296529
524	327037	295891
525	327674	295280
526	328325	294682
527	328948	294059
528	329614	293475
529	330254	292867
530	331253	292576
531	332029	292086
532	333021	291784
533	334116	291569
534	335237	291374
535	336315	291138
536	337482	290976
537	338415	290609
538	339640	290490
539	340846	290350
540	341609	289831
541	342350	289292
542	343102	288761
543	343821	288203
544	344510	287619
545	345179	287017
546	345815	286388
547	346490	285791
548	347133	285168
549	347762	284532
550	348452	283947
551	349123	283346
552	349797	282747
553	350471	282148
554	351215	281605
555	351873	280992
556	352572	280412
557	353294	279849
558	354164	279403
559	355193	279080
560	356030	278604
561	356995	278227
562	357925	277821
563	358784	277358
564	359579	276844
565	360716	276591
566	361487	276056
567	362257	275519
568	362840	274840
569	363465	274193
570	364229	273650
571	365146	273221
572	366144	272851
573	367090	272439
574	367743	271810
575	368514	271267
576	369215	270672
577	369827	270012
578	370625	269487
579	371255	268839
580	371920	268217
581	372604	267609
582	373309	267015
583	374262	266597
584	375818	266606
585	377056	266384
586	378055	265991
587	378825	265435
588	379550	264847
589	380370	264325
590	381308	263883
591	382099	263339
592	383166	262982
593	384348	262702
594	385140	262154
595	386365	261899
596	387761	261755
597	388795	261364
598	390197	261217
599	391340	260893
600	392411	260519
601	393478	260140
602	394508	259734
603	395553	259336
604	396515	258881
605	397528	258458
606	398562	258047
607	399615	257646
608	400814	257337
609	401839	256913
610	402757	256420
611	403815	256013
612	404773	255542
613	405718	255060
614	406684	254591
615	407616	254098
616	408485	253565
617	409404	253062
618	410232	252501
619	411030	251922
620	411860	251361
