iter	MAE
200	0.1285608448
201	0.1285495455
202	0.1285247454
203	0.128517674
204	0.1285044297
205	0.1284905776
206	0.1284781583
207	0.12846414
208	0.1284531786
209	0.128437185
210	0.1284270175
211	0.1284159602
212	0.1284064169
213	0.128384648
214	0.1283642758
215	0.1283473844
216	0.1283356077
217	0.1283266356
218	0.1283134849
219	0.1283012025
220	0.1282908282
221	0.128274376
222	0.1282565356
223	0.1282431995
224	0.1282350935
225	0.1282209862
226	0.128200658
227	0.1281900366
228	0.1281831342
229	0.1281739633
230	0.1281624508
231	0.1281475308
232	0.1281400868
233	0.1281268418
234	0.1281146963
235	0.1281050325
236	0.1280943343
237	0.1280780472
238	0.1280683399
239	0.12805328
240	0.1280452506
241	0.1280358264
242	0.1280290352
243	0.1280178094
244	0.1280044891
245	0.1279931388
246	0.1279755397
247	0.1279692603
248	0.1279428924
249	0.1279352882
250	0.1279251692
251	0.1279165819
252	0.127903718
253	0.1278961848
254	0.1278753407
255	0.1278594601
256	0.1278513097
257	0.1278436698
258	0.1278262681
259	0.1278027311
260	0.1277890683
261	0.1277739368
262	0.127765807
263	0.1277388595
264	0.1277293224
265	0.1277193057
266	0.1277099719
267	0.1277012768
268	0.1276927792
269	0.1276651914
270	0.1276516391
271	0.1276431797
272	0.1276290825
273	0.1276215993
274	0.1276043442
275	0.1275847535
276	0.1275738257
277	0.127564427
278	0.1275538029
279	0.1275412399
280	0.1275304101
281	0.1275212151
282	0.1274965834
283	0.1274804319
284	0.1274621
285	0.127456433
286	0.1274433533
287	0.1274306977
288	0.1274153481
289	0.1274095907
290	0.1273997612
291	0.1273912358
292	0.1273804513
293	0.1273715945
294	0.1273624671
295	0.1273394537
296	0.1273313747
297	0.1273209139
298	0.1273105428
299	0.1273044443
300	0.127296023
301	0.1272778915
302	0.1272669909
303	0.1272582426
304	0.1272439783
305	0.1272365709
306	0.1272229081
307	0.1271982549
308	0.1271893892
309	0.1271804283
310	0.1271713323
311	0.127149245
312	0.12712837
313	0.1271189989
314	0.1271107071
315	0.1271037039
316	0.1270949101
317	0.1270891299
318	0.1270813333
319	0.1270733744
320	0.1270586874
321	0.127050056
322	0.1270443659
323	0.127025423
324	0.1270193209
325	0.1270103419
326	0.1269989675
327	0.1269835832
328	0.126971511
329	0.1269649488
330	0.1269525369
331	0.1269389237
332	0.1269278698
333	0.1269187633
334	0.1269094716
335	0.126901157
336	0.1268859652
337	0.1268795889
338	0.1268689417
339	0.1268588973
340	0.126851354
341	0.1268451834
342	0.1268378248
343	0.1268289441
344	0.1268169878
345	0.1268080907
346	0.1267967889
347	0.1267856869
348	0.1267770986
349	0.1267680619
350	0.1267519558
351	0.1267373844
352	0.1267283079
353	0.1267228475
354	0.1267157188
355	0.1267050253
356	0.1266920093
357	0.1266837762
358	0.1266716108
359	0.1266633645
360	0.1266566042
361	0.1266503248
362	0.1266439682
363	0.1266364022
364	0.1266281724
365	0.1266165229
366	0.126608652
367	0.1265970312
368	0.1265895185
369	0.126573667
370	0.1265625259
371	0.1265531112
372	0.1265435645
373	0.1265288717
374	0.12652236
375	0.1265099665
376	0.1265048761
377	0.12649871
378	0.1264828868
379	0.1264745075
380	0.1264632646
381	0.1264568455
382	0.1264490815
383	0.1264444016
384	0.1264214655
385	0.1264105595
386	0.1263973096
387	0.126386434
388	0.1263801761
389	0.1263664612
390	0.1263592587
391	0.1263501073
392	0.1263465167
393	0.1263413064
394	0.1263316387
395	0.1263238888
396	0.1263078428
397	0.1262997945
398	0.126294534
399	0.1262837884
400	0.1262766694
401	0.1262657435
402	0.126254637
403	0.1262491967
404	0.1262409189
405	0.1262336047
406	0.1262265248
407	0.1262117514
408	0.1262046584
409	0.1261992819
410	0.1261903416
411	0.1261777595
412	0.1261679354
413	0.1261475273
414	0.1261332156
415	0.1261186003
416	0.1261120201
417	0.1260982504
418	0.1260862706
419	0.1260792569
420	0.1260718742
421	0.1260618733
422	0.12605592
423	0.1260488492
424	0.12604155
425	0.1260264235
426	0.1260218762
427	0.1260136328
428	0.126000728
429	0.1259881594
430	0.12597793
431	0.1259688476
432	0.1259601576
433	0.1259524445
434	0.1259379799
435	0.125932391
436	0.1259199788
437	0.125914867
438	0.1259067333
439	0.1258991694
440	0.1258911474
441	0.1258837646
442	0.1258721538
443	0.1258677575
444	0.1258613952
445	0.1258557107
446	0.1258494282
447	0.1258407806
448	0.1258352229
449	0.1258273407
450	0.1258206502
451	0.125812916
452	0.125801365
453	0.1257952111
454	0.1257916359
455	0.1257834303
456	0.1257715031
457	0.125760041
458	0.1257539837
459	0.1257460567
460	0.1257393747
461	0.1257331388
462	0.125716954
463	0.1257132943
464	0.1257091834
465	0.1256917962
466	0.1256873488
467	0.1256728958
468	0.1256560077
469	0.1256446598
470	0.1256410127
471	0.1256350907
472	0.1256313851
473	0.1256252031
474	0.1256159795
475	0.1256065505
476	0.1255964376
477	0.1255858757
478	0.1255759774
479	0.1255662174
480	0.1255594028
481	0.1255535934
482	0.1255465576
483	0.1255371215
484	0.1255312484
485	0.1255245936
486	0.1255184508
487	0.1255075669
488	0.1255005058
489	0.1254854619
490	0.1254789549
491	0.1254705764
492	0.125461033
493	0.1254549248
494	0.1254479977
495	0.1254405664
496	0.1254317738
497	0.125421291
498	0.1254138909
499	0.1254084916
500	0.1253999051
501	0.1253930561
502	0.1253815864
503	0.1253755716
504	0.1253630819
505	0.1253577187
506	0.1253473983
507	0.1253422894
508	0.1253375575
509	0.1253321259
510	0.1253250051
511	0.1253170623
512	0.1253074885
513	0.125302146
514	0.1252892421
515	0.1252807655
516	0.1252725499
517	0.1252619475
518	0.1252556854
519	0.1252430515
520	0.1252308459
521	0.1252250443
522	0.1252138104
523	0.1252076016
524	0.1251934445
525	0.1251874259
526	0.1251748876
527	0.1251665521
528	0.1251623988
529	0.125158255
530	0.1251506931
531	0.1251420794
532	0.1251365766
533	0.1251258896
534	0.1251179838
535	0.1251103489
536	0.1251062274
537	0.1250943325
538	0.1250888596
539	0.1250805776
540	0.1250755954
541	0.1250707633
542	0.1250599977
543	0.1250530711
544	0.1250485877
545	0.1250366868
546	0.1250321296
547	0.1250267523
548	0.1250186182
549	0.1250113467
550	0.1250059673
551	0.124999839
552	0.1249881279
553	0.1249835086
554	0.1249728372
555	0.1249600756
556	0.1249513138
557	0.124943205
558	0.1249378716
559	0.1249200689
560	0.1249146424
561	0.1249047517
562	0.1248928391
563	0.124879358
564	0.1248699366
565	0.1248592745
566	0.1248506469
567	0.1248382757
568	0.1248333582
569	0.1248268656
570	0.1248146129
571	0.1248088513
572	0.1248035317
573	0.1247944795
574	0.1247856078
575	0.1247789237
576	0.1247730768
577	0.1247652638
578	0.1247503263
579	0.1247456732
580	0.124735811
581	0.1247282005
582	0.1247225213
583	0.1247145014
584	0.1247038613
585	0.1246999937
586	0.1246937386
587	0.12468245
588	0.1246780983
589	0.1246723788
590	0.1246668381
591	0.1246584543
592	0.1246455156
593	0.1246417969
594	0.1246311207
595	0.1246166143
596	0.1246099307
597	0.1245968958
598	0.1245903995
599	0.1245836242
600	0.124570201
601	0.1245621841
602	0.1245533977
603	0.1245496933
604	0.1245444808
605	0.1245323706
606	0.1245227621
607	0.1245194464
608	0.1245085368
609	0.1245020183
610	0.1244888229
611	0.1244789561
612	0.1244698974
613	0.1244639502
614	0.1244536041
615	0.1244453702
616	0.1244375384
617	0.1244306446
618	0.1244259128
619	0.124421939
620	0.124413494
621	0.12440122
622	0.124396248
623	0.1243904012
624	0.1243767168
625	0.1243708967
626	0.1243603209
627	0.124347635
628	0.1243397326
629	0.1243327296
630	0.1243214818
631	0.1243137161
632	0.1243055982
633	0.1243007443
634	0.124288353
635	0.1242840278
636	0.1242733154
637	0.1242704979
638	0.1242670263
639	0.1242603179
640	0.1242525608
641	0.1242462631
642	0.1242418062
643	0.1242324988
644	0.1242232383
645	0.1242121401
646	0.1242061512
647	0.1241953111
648	0.1241906884
649	0.1241857088
650	0.1241810287
651	0.1241768951
652	0.1241677164
653	0.1241568153
654	0.1241528634
655	0.1241441046
656	0.1241244122
657	0.1241128399
658	0.1241073185
659	0.1240974367
660	0.1240918964
661	0.1240881439
662	0.124081385
663	0.1240721561
664	0.1240614676
665	0.1240487998
666	0.1240401224
667	0.1240334869
668	0.1240304116
669	0.1240266498
670	0.1240219811
671	0.124013128
672	0.1239974237
673	0.1239902381
674	0.1239830616
675	0.1239788156
676	0.1239639304
677	0.123960463
678	0.1239545442
679	0.1239448914
680	0.1239339777
681	0.1239286747
682	0.1239192108
683	0.1239087153
684	0.1239039949
685	0.1238933114
686	0.1238893095
687	0.1238847926
688	0.123879375
689	0.1238743035
690	0.1238619412
691	0.1238561822
692	0.1238420159
693	0.1238367072
694	0.1238305127
695	0.1238176171
696	0.1238098606
697	0.12380039
698	0.1237896415
699	0.123779789
700	0.1237704691
701	0.123766145
702	0.123761326
703	0.1237542089
704	0.1237430091
705	0.1237298606
706	0.1237182888
707	0.1237115942
708	0.1236989624
709	0.1236930565
710	0.1236782974
711	0.123671311
712	0.123664987
713	0.1236593727
714	0.1236521905
715	0.1236488285
716	0.1236408923
717	0.1236260591
718	0.1236211199
719	0.1236164338
720	0.1236120611
721	0.1236080347
722	0.1236034479
723	0.1235955325
724	0.1235857951
725	0.1235811968
726	0.1235753792
727	0.1235643011
728	0.1235532194
729	0.1235416412
730	0.1235322399
731	0.1235285745
732	0.1235192437
733	0.1235127275
734	0.1235002433
735	0.1234943523
736	0.1234831075
737	0.1234780387
738	0.123473081
739	0.1234579212
740	0.1234497158
741	0.1234428913
742	0.1234337321
743	0.1234267967
744	0.1234194511
745	0.123415765
746	0.1234112148
747	0.123408537
748	0.1233985019
749	0.1233896136
750	0.1233821502
751	0.1233750593
752	0.1233704112
753	0.1233657304
754	0.1233608089
755	0.1233558844
756	0.1233488506
757	0.1233444115
758	0.123342076
759	0.1233351378
760	0.1233239477
761	0.1233198396
762	0.1233165471
763	0.1233137669
764	0.1233084239
765	0.1233052857
766	0.1232912749
767	0.1232882386
768	0.123284807
769	0.1232773471
770	0.1232695953
771	0.1232635119
772	0.1232548899
773	0.1232473126
774	0.1232428883
775	0.1232353425
776	0.1232327377
777	0.1232276302
778	0.1232234443
779	0.1232189567
780	0.1232125952
781	0.1232029747
782	0.1231934254
783	0.1231861268
784	0.1231738616
785	0.1231700731
786	0.1231657347
787	0.1231608213
788	0.1231573873
789	0.1231502327
790	0.1231439769
791	0.1231346542
792	0.1231306013
793	0.1231266934
794	0.1231173332
795	0.123111986
796	0.1231049244
797	0.1230997061
798	0.1230901665
799	0.1230844028
800	0.1230741214
801	0.1230686939
802	0.1230578772
803	0.1230471597
804	0.1230434056
805	0.1230374394
806	0.123027989
807	0.1230191947
808	0.1230072569
809	0.123003377
810	0.1229947058
811	0.122981602
812	0.1229752917
813	0.1229706589
814	0.1229614338
815	0.1229575513
816	0.1229465922
817	0.1229432833
818	0.1229329718
819	0.1229287864
820	0.1229188799
821	0.1229071515
822	0.1229039713
823	0.1229011721
824	0.1228908965
825	0.1228812451
826	0.1228746091
827	0.1228709706
828	0.1228675408
829	0.1228641728
830	0.1228513362
831	0.1228466462
832	0.122844218
833	0.1228415084
834	0.1228296237
835	0.1228177502
836	0.1228118986
837	0.1228061904
838	0.1228019935
839	0.1227934158
840	0.1227823547
841	0.122774057
842	0.1227694505
843	0.1227666128
844	0.1227598887
845	0.1227460947
846	0.1227414301
847	0.1227383751
848	0.1227290299
849	0.1227215372
850	0.1227155722
851	0.1227096482
852	0.1227009156
853	0.1226878683
854	0.1226777448
855	0.1226744643
856	0.1226704971
857	0.1226608475
858	0.122657064
859	0.1226484069
860	0.1226438451
861	0.1226347808
862	0.1226294284
863	0.1226258389
864	0.1226200939
865	0.1226138682
866	0.1226096329
867	0.1225986382
868	0.1225920588
869	0.1225831764
870	0.1225712219
871	0.1225604344
872	0.1225490995
873	0.1225381404
874	0.1225343988
875	0.122527648
876	0.1225238655
877	0.1225197142
878	0.1225168199
879	0.122510348
880	0.122500771
881	0.1224896846
882	0.1224844946
883	0.1224799441
884	0.1224730919
885	0.122468459
886	0.1224646937
887	0.1224587295
888	0.1224538606
889	0.1224477199
890	0.1224433315
891	0.1224388778
892	0.1224354496
893	0.1224257483
894	0.1224209685
895	0.1224124573
896	0.1224050456
897	0.1224011807
898	0.1223974046
899	0.1223888346
900	0.1223832218
901	0.1223762605
902	0.1223665972
903	0.1223616085
904	0.1223576185
905	0.1223511395
906	0.1223417508
907	0.1223396922
908	0.1223366723
909	0.1223274193
910	0.1223223577
911	0.1223105902
912	0.122307297
913	0.1223031006
914	0.122296827
915	0.1222869547
916	0.1222762885
917	0.122267017
918	0.1222617408
919	0.1222515032
920	0.1222434889
921	0.1222391885
922	0.1222339105
923	0.1222302443
924	0.1222180129
925	0.1222144498
926	0.1222076975
927	0.1221961182
928	0.1221835946
929	0.1221801844
930	0.1221773631
931	0.1221744374
932	0.1221674104
933	0.1221645228
934	0.1221590803
935	0.1221574671
936	0.1221517419
937	0.1221416787
938	0.1221383637
939	0.1221266802
940	0.1221156962
941	0.122112217
942	0.1221087094
943	0.1221010582
944	0.1220931591
945	0.1220777906
946	0.1220745994
947	0.1220708521
948	0.1220676798
949	0.122056853
950	0.1220512202
951	0.1220409285
952	0.1220360182
953	0.1220287952
954	0.1220239028
955	0.1220164725
956	0.1220097773
957	0.1219992388
958	0.1219943634
959	0.1219910671
960	0.121988158
961	0.1219695403
962	0.1219641444
963	0.1219539321
964	0.1219472539
965	0.1219417313
966	0.1219347481
967	0.121926677
968	0.1219219662
969	0.121918143
970	0.1219137295
971	0.1219103279
972	0.1219072252
973	0.1219036083
974	0.1218942364
975	0.1218864086
976	0.1218788933
977	0.1218712255
978	0.1218618635
979	0.1218553349
980	0.12184994
981	0.1218463655
982	0.1218332052
983	0.1218244209
984	0.1218202633
985	0.1218125418
986	0.1218073408
987	0.1218013656
988	0.1217965372
989	0.1217924772
990	0.1217880551
991	0.1217673289
992	0.1217611381
993	0.1217548074
994	0.1217522161
995	0.1217442573
996	0.1217394921
997	0.1217364746
998	0.1217247565
999	0.1217177942
